;Title;Text
23;Car rolls backwards into the barrier;On Tuesday afternoon (September 1st, 2020) a driver touched a post when exiting the Spisertor underground car park. During the subsequent damage assessment, the driver forgot to secure the car, which is why it rolled backwards into a barrier. Nobody was injured in the accident, but there was considerable property damage. On Tuesday, shortly after 2.30 p.m., a 41-year-old man drove his vehicle out of the Spisertor underground car park. He touched a post with the right outside mirror, causing the mirror cover to fall to the ground. At the end of the exit ramp, the driver stopped his vehicle and got out to inspect the damage. He forgot to secure the car from rolling away. As a result, it rolled back unmanned, touched the barriers there and finally came to a standstill. Nobody was injured, but there was considerable property damage. Figure 1: Front view of the accident Figure 2: Rear view of the accident Figure 3: Accident car Figure 4: Scene of the accident
24;Collision when turning;On Friday (September 4th, 2020) there was a collision on Burgstrasse when turning onto Vonwilstrasse. One woman was injured indefinitely, rather easily. There was material damage to the vehicles. On Friday afternoon at 11.20 a.m., a 44-year-old man drove a delivery truck with a trailer on Burgstrasse out of town. When trying to turn left into Vonwilstrasse, the 44-year-old overlooked a 35-year-old woman driving into town. There was a collision between the right side of the trailer and the right front of the 35-year-old's car. The woman suffered vague, rather minor injuries in the accident. Property damage occurred to their vehicle and it had to be towed away. Figure 1: Passenger car Figure 2: Delivery truck with trailer
25;Violation of road traffic and weapons law;"On the night of Saturday (05.09.2020), the St.Gallen city police stopped a man who repeatedly ignored red lights, tried to evade the subsequent control and was ultimately classified as incapable of driving. Forbidden brass knuckles were also seized in the vehicle and impermissible technical modifications were found on the vehicle itself. On Saturday night, a patrol of the St.Gallen city police noticed a driver disregarding several red lights. The patrol started the night with a sirloin and flashing lights. However, the driver did not react to the police officers and also ignored the ""STOP"" police matrix. When he was finally stopped, the 21-year-old was classified as incapable of driving. The St.Gallen public prosecutor ordered a blood and urine sample. Two forbidden brass knuckles were seized in the 21-year-old's vehicle. In addition, the police found impermissible technical changes to the exhaust system and a tire that was worn down to the carcass. The license plates were withdrawn for the attention of the road traffic office and the 21-year-old man was promised a complaint."
26;Pay for EBZ day permits with TWINT;St.Gallen is the first Swiss city to introduce a new payment method for day permits in all Extended Blue Zones (EBZ). It is now possible to use the TWINT app to pay for one-day parking permits in EBZ car parks in the city of St.Gallen. After the St.Gallen city police introduced the TWINT app as a payment method for parking fees in white parking spaces in November 2018 they now continue to offer their services. As the first city in Switzerland, St.Gallen is now able to pay for EBZ day permits with the TWINT app. Since the EBZ is very extensive and there is usually no possibility of attaching the QR code, the St.Gallen City Police have created printed matter with the corresponding QR codes. The QR codes are available on cards, stickers and parking discs at the police station at Vadianstrasse 57 and at the inner city police contact point at 5 Neugasse. You can also download the QR code from the City of St.Gallen website or obtain it from the security assistant and the district police. The permit can now be obtained by scanning the QR code with the TWINT app. In the background, the payment is processed using the proven cashless ParkingPay system. A one-time specification of the license plate is required as part of the TWINT payment. This is used to check whether parking has been paid for. A permit can then be purchased for the current day. With the introduction of TWINT as an additional payment option, added value is created for both residents and guests, as daily permits can now also be paid in the EBZ even more easily without cash. The conventional payment methods will continue to be used. Image 1: Scan the QR code TWINT QR code and instructions.pdf
27;Two car collisions with bicycles;On Wednesday (09.09.2020) there were two accidents between cars and cyclists. In an accident at the Pestalozzi / Vadianstrasse junction, a cyclist was injured and had to be taken to the hospital. In another accident at the Bachstrasse / Splügenstrasse junction, a cyclist suffered moderate injuries. On Wednesday shortly after 7.30 a.m., a 76-year-old driver drove on the Bachstrasse in the direction of Splügenstrasse. At the junction, the driver overlooked the cyclist coming from the left, which led to a collision. The 63-year-old two-wheeler injured herself according to initial findings and had to be taken to the hospital. Shortly after 8 a.m., another collision between a cyclist and a car occurred at the Pestalozzi / Vadianstrasse junction. Because a 76-year-old cyclist disregarded the right of way, there was a side-front collision with the car. The cyclist had to be taken to hospital with minor injuries. Image 1: accident situation at the Pestalozzi / Vadianstrasse junction Image 2: accident site at the Bachstrasse / Splügenstrasse junction
28;Witness call: seriously injured pedestrian after an accident;On Friday (September 11th, 2020) a serious traffic accident occurred on Rorschacher Strasse in Neudorf. A pedestrian had to be admitted to the hospital with life-threatening injuries. The police are looking for witnesses. On Friday at 4:45 p.m., a 42-year-old woman ran across the pedestrian crossing on Rorschacher Strasse, near Lindenstrasse. A motorist driving out of town collided head-on with the woman. She was hospitalized with life-threatening injuries. A breath alcohol measurement in a 58-year-old driver showed a value of 0.7 mg / l. He had to give a blood and urine sample. Due to the accident, there were major traffic disruptions. The forensic science service of the St.Gallen canton police was called in to investigate the accident. The exact course of the accident is being clarified by the St.Gallen city police, who are looking for witnesses. People who can provide information about the course of the accident or who have noticed the vehicle with AR license plates should report to 071 224 60 00. Figure 1: Scene of the accident Rorschacher Strasse Figure 2: Car
29;Pedestrian died;On Friday evening (September 11th, 2020) there was an accident between a pedestrian and a car on Rorschacher Strasse. The woman died that night. On Friday at 4:45 p.m. there was a serious traffic accident between a pedestrian and a car on Rorschacher Strasse. The city police reported on it (media release from 09/11/2020). The 42-year-old pedestrian died on Saturday night due to her serious injuries. The St.Gallen city police are looking for people who can provide information about the accident or who saw the vehicle with AR license plates. Information is received on the telephone number 071 224 60 00.
30;Passenger injured after emergency bus braking;On Monday evening (September 14th, 2020) a bus driver had to brake hard because of a passing pedestrian at the Martinsbrugg- / Reherstrasse junction. A passenger injured himself indefinitely as a result of the emergency braking. A 63-year-old bus driver drove into town on Martinsbruggstrasse shortly after 6 p.m. on Monday. At the Martinsbrugg- / Reherstrasse junction, a 77-year-old woman suddenly ran across the pedestrian crossing, which is why the bus driver had to apply the brakes. As a result of the force of the emergency braking, a 64-year-old woman fell in the bus and injured herself indefinitely. She was taken to the hospital by the paramedic.
31;Two slightly injured in a collision;On Monday morning (September 14th, 2020) there was a collision between two cars at the junction Grossackerstrasse / Falkensteinstrasse. Two people were slightly injured, both vehicles had to be towed. On Monday at 10 a.m., a 41-year-old woman drove south on Grossackerstrasse. At the same time, a 78-year-old drove east on Falkensteinstrasse. At Grossackerstrasse, he slowed down his vehicle to look for the motorway entrance. He overlooked the car approaching from the left. As a result, there was a collision between the two vehicles. The driver and her passenger were slightly injured, but did not have to be taken to the hospital. There was moderate property damage. Both cars had to be towed. Figure 1: Side view of the accident Figure 2: Accident situation from above
32;Pedestrian injured after collision with a car;On Wednesday morning (16.09.2020) an accident occurred on Bruggwaldstrasse in which a pedestrian was hit. She suffered unspecified head and back injuries. On Wednesday, shortly after 10 a.m., a driver drove his vehicle from Obvita downhill towards Bruggwaldstrasse. At the level of Bruggwaldstrasse he intended to turn left in the direction of Wittenbach. At that moment, an 86-year-old woman crossed the street. As a result, the 72-year-old touched the pedestrian. The woman then fell and sustained uncertain head and back injuries. She had to be brought to the hospital by the paramedic. Fig. 1: Scene of the accident, view of Bruggwaldstrasse Fig. 2: Scene of the accident, view of the Obvita exit
33;Leave the car behind after an accident and run away;On Sunday morning (September 20, 2020) there was a self-accident on Rosenbergstrasse. After the driver had knocked over the island protection posts on a pedestrian island, he left his car nearby. The driver left the scene of the accident. Rosenbergstrasse had to be closed for an hour to record the accident. On Sunday at 640 a.m., the St.Gallen city police received a report of a self-accident on Rosenbergstrasse. It turned out that a driver was driving his car on Rosenbergstrasse into town. At property no. 28, he had knocked over the island protection posts and the signal board on the pedestrian island. He then parked the vehicle in a side street nearby. Then he ran towards the city center. The forensic science service of the St.Gallen canton police was called in to secure evidence. Later, the vehicle owner and suspected driver could be stopped in a club in the city center. As a result of alcohol consumption, the St.Gallen public prosecutor's office ordered the blood and urine sample at the St.Gallen cantonal hospital. The 37-year-old driver had already had his driver's license withdrawn at the time of the accident. No people were injured. There was high damage to property. Rosenbergstrasse had to be closed for an hour to record the accident. Damage FZ.jpgUnfallstelle Rosenbergstrasse.jpg
34;Injured after a collision between bicycles;On Tuesday evening (September 22nd, 2020) a cyclist collided on Appenzeller Strasse. Both were slightly injured and had to be brought to the hospital by the ambulance. On Tuesday evening, shortly after 8 p.m., a 66-year-old man steered his e-bike on the Appenzeller Strasse bike path from Herisau in the direction of St.Gallen. A 34-year-old woman met him with her e-bike. When the two were on the same level, they brushed against each other for reasons that are still unclear, causing both parties involved in the accident to fall. They injured themselves easily and had to be taken to the hospital by the ambulance. There was minor property damage to the two e-bikes. Photo 1: Bicycle at the scene of the accident Photo 2: The scene of the accident
35;Fireworks ignited in the city center;In the night from Wednesday to Thursday (September 24th, 2020) strangers set off fireworks at various locations in downtown St.Gallen. The St.Gallen City Police are clarifying the incidents, The St.Gallen City Police received several reports early Thursday morning that fireworks were being set off in the city center, which is prohibited. The police could not find any more people on site. However, various burned fireworks material was seized. It is currently unclear who set off the fireworks. The St.Gallen City Police are making further inquiries in this regard.
36;Balloons kept out of moving car;On Thursday afternoon (September 24th, 2020) a vehicle was stopped on Rosenheimstrasse and a large number of balloons were held out of the window. In addition, one more person was in the car than allowed. There was a complaint and a fine. On Thursday afternoon, shortly before 2 p.m., the St.Gallen City Police became aware of a vehicle with a large number of balloons being held out of the rear window. During the inspection it was found that there were five people in the vehicle, although the vehicle is only permitted for four people. One of these people was a 2-year-old child who was sitting on the passenger's lap. Because of the surplus person, a fine of CHF 60 was issued. The passenger who held the balloon out of the window was reported and had to continue on foot. Image: Situation car with balloons
37;Road traffic accident with property damage;On Tuesday lunchtime (29.09.2020) a traffic accident between two cars occurred on Zürcher Strasse. Nobody was injured, but there was moderate property damage. On Tuesday afternoon at just before 1 p.m. there was a collision between two cars on Zürcher Strasse. A 37-year-old man came from the Schoren motorway exit and intended to drive in the direction of Winkeln. He passed the light signal, according to his own statements, shortly after it switched to orange. At the same time, a 60-year-old man was driving his vehicle from Feldlistrasse with the intention of turning left in order to get to the motorway slip road. As a result, there was a side-frontal collision in the middle of the intersection. Nobody got hurt. A vehicle had to be towed away and there was moderate property damage. Fig. 1: Accident situation Fig. 2: Scene of the accident
38;Missing report Sandro Koster;"Sandro Koster has been missing in St.Gallen since Saturday afternoon, October 3, 2020. Presumably he is on the road with his vehicle VW Passat, white, SG 393 081. Despite various police investigations, the missing person could not be found. The 24-year-old is likely to be at risk for himself. ▪ 24 years old; about 182 cm tall; brown, dark blonde, curly hair; blue eyes; slim stature; He is probably driving his car, a white VW Passat, built in 2002, with license plates SG 393 081. Evidence suggests that he is self-harm. Despite various police investigations, the missing person could not be found and his whereabouts are unknown. The St.Gallen City Police asks the population to help. Question to the population: - Who has seen Mr. Koster since Saturday, October 3, 2020 and where? - Who has known the VW Passat since Saturday, October 3, 2020 , SG 393 081 and where? The St.Gallen City Police will receive information on 071 224 60 00 Photo Sandro Koster"
39;Missing report;"A 24-year-old man has been missing in St.Gallen since Saturday afternoon, October 3, 2020. He's probably driving his VW Passat, white, on the road. Despite various police investigations, the missing person could not be found. The 24-year-old is likely to be at risk for himself. ▪ 24 years old; about 182 cm tall; brown, dark blonde, curly hair; blue eyes; slim stature; ears rings on both ears. The 24-year-old man has been missing since Saturday afternoon, October 3, 2020. He is probably on the road with his car, a white VW Passat, built in 2002. Evidence suggests that he is self-harm. Despite various police investigations, the missing person could not be found and his whereabouts are unknown. The St.Gallen City Police asks the population to help. Question to the population: - Who has seen the man since Saturday, October 3, 2020, and where? - Who has known the VW Passat since Saturday, October 3, 2020 Seen and where? The St.Gallen City Police will receive information on 071 224 60 00."
40;Missing man found dead;On Monday (October 5th, 2020) the St.Gallen city police published a missing person report and asked the population for assistance. The 24-year-old missing man was found dead late on Monday evening, and the St.Gallen city police were looking for a 24-year-old man with the help of the population who was reported missing (media release of October 5, 2020). Based on information from the population, the man's car was found in the canton of Schwyz. The 24-year-old was found dead by the Schwyz canton police near his vehicle late on Monday evening. There is no evidence of third-party interference. The St.Gallen City Police thank the population for their help.
41;Aggressive man taken into custody;On Monday (October 5th, 2020) the St.Gallen City Police took a 56-year-old man into police custody due to his aggressive behavior. The man was charged with violence and threats against authorities and officials. On Monday evening at 6.15 p.m., the St.Gallen city police were called to the upper ditch because of a man allegedly hit by a bus. He then went to a restaurant where the police could find him. It turned out that there was no collision and the man was unharmed. However, he is said to have crossed the street via a pedestrian crossing, although the traffic lights indicated red. Subsequently, he is said to have insulted other guests in the restaurant. Since he could not be calmed down by the police either, he was taken to the police station. He was very aggressive towards the police and spat at them during the entire course of the official act. A breath alcohol test showed the value of 0.7 mg / l. He was taken into custody for endangering others and himself and charged with violence and threats against authorities and officials.
42;Power failure in the Rotmonten - Sandrain - Kirchli area;On Wednesday morning (October 7th, 2020) there was a power outage in the east of the city of St.Gallen. Around 148 customers of the St.Galler Stadtwerke were affected. After an hour, all those affected could be supplied with electricity again. Text alternative to the picture: Symbolic picture - new window On Wednesday morning at 00:58, there was a supply interruption due to a technical fault in the medium-voltage line between the transformer stations in Rotmonten and Sandrainstrasse. The properties in the area of ​​the Kirchli transformer station were also affected. A total of 148 customers could not be supplied for one hour, the on-call service of the St.
43;Road traffic accidents with two slightly injured people;On Tuesday (October 6th, 2020) there were two road traffic accidents in the city of St.Gallen. Two people were slightly injured. On Tuesday afternoon shortly after 2 p.m., a 50-year-old man backed her car out of a parking area on Langgasse. The driver overlooked a 74-year-old woman on the sidewalk. There was a collision between the car and the woman. The pedestrian fell and was slightly injured. She was brought to the hospital by the paramedic. Another accident occurred late on Tuesday afternoon on Zürcher Strasse at the main entrance to the shopping arena. A 15-year-old was driving his e-bike in the entrance area and overlooked an 8-year-old boy. In the collision, those involved fell. The 8-year-old was brought to the hospital by the paramedic. The handlebar of the e-bike does not have the required driver's license category. It is displayed. Fig. 1: Traffic accident in the shopping arena Fig. 2: Traffic accident in Langgasse
44;Cyclist crashes into barrier;On Thursday (October 8th, 2020) a traffic accident occurred on the cycle path on Rosenbergstrasse. A cyclist crashed into a barrier and sustained unspecified injuries. On Thursday at 11:15 p.m., a cyclist collided with a barrier on the cycle path in Rosenbergstrasse for reasons that were still unclear. The 32-year-old suffered undetermined injuries from the fall. According to the man's statements, he had consumed alcohol. However, an on-site breath test was not possible. The ambulance took the handlebars of the bicycle to the hospital
